,Tube_station,Line,Time,Weekly_rent,Latitude,Longitude
0,Acton Town,District,5,308,51.5,-0.28
1,Aldgate,Metropolitan,15,442,51.51,-0.08
2,Aldgate East,District,22,428,51.52,-0.07
3,Alperton,Piccadilly,28,271,51.54,-0.3
4,Angel,Northern,13,424,51.53,-0.11
