Mouza Name,Total Settlements,Total Area,Cultivated Area,Uncultivated Area,Wheat,Rice,Cotton,Sugarcane,Maize,Pulses,Orchard,Vegetables,Canal,River,Tubewell/Well,Ravine,Spring/Stream,Arid,Flooding Torrent,Others,Canal Water,Total Number of Water Courses,Number of Improved Water Courses,Vet Centre Dispensary,If not than Distance,Private Facility,If not than Distance,Mobile Vet Dispenser,Lifestock,If not than Distance,Grains,If not than Distance,Fruits,If not than Distance,Vegetables,If not than Distance,Status,If not than Distance,Fertilizers,If not than Distance,Seeds,If not than Distance,Pesticides,If not than Distance,ADBP,Coop Bank,Commercial Bank,Micro Finance Bank,NGO,RSP,Govt.,Broker,Others,ADBP,Coop Bank,Commercial Bank,Micro Finance Bank,NGO,RSP,Govt.,Broker,Others,Retail Market,Service,Agriculture,Trade,Industry,Personal Business,Overseas Employment,Labour,Service,Agriculture,Trade,Industry,Personal Business,Overseas Employment,Labour,Large Scale,Medium Scale,Small Scale,Cottage Industries,None,Govt. Piped Supply,Tubewell,Well,Hand Pump,Personal Electric Pump,Canal/River,Spring/Stream,Tank/Pond,Others,Taste of Drinking Water,Filtration Facility for Drinking Water,Toilet Facility in Majority of Houses,Bricked Streets in Mouza,Bricked Drains,Sewerage System,Status,If not than Distance,Sui Gas,LPG,Kerosene Oil,Wood,Coal,Animal Dung Cake,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance,Status,If not than Distance
Bajar Shumali,1,564,366,197,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,No,10,No,10,No,No,20,No,20,No,20,No,20,No,20,No,20,No,20,No,20,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,None,Mostly,None,None,None,None,Some,None,None,None,None,None,None,Some,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Sweet,No,Open Place,None,None,None,Some,0,No,No,No,Yes,No,Yes,No,10,No,35,No,4,No,4,No,10,No,15
Jabi Shumali,4,27593,8536,18922,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,3,2,No,15,No,15,Yes,No,50,No,40,No,50,No,50,No,50,No,10,No,15,No,15,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,None,Some,None,None,None,None,Some,None,Mostly,None,None,None,None,Some,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Sweet,No,Open Place,None,None,None,Some,0,No,No,No,Yes,No,Yes,Yes,0,No,50,Yes,0,Yes,0,Yes,0,No,15
Rakh Jabi,0,2332,0,2332,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,Yes,0,Yes,0,No,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,No,0,No,0,No,0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,None,None,None,None,None,None,None,None,None,None,None,None,None,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,0,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0
Jabi Janubi,5,647,566,55,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,4,2,No,15,No,15,No,No,50,No,50,No,50,No,50,No,45,No,10,No,10,No,10,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,None,Mostly,None,None,None,None,Some,None,Mostly,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Sweet,No,Open Place,None,None,None,Some,0,No,No,No,Yes,No,Yes,No,20,No,45,No,10,No,5,No,15,No,15
30/M.B.,1,1337,1170,104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,3,3,No,2,Yes,0,No,No,45,No,42,No,45,No,42,No,42,No,20,No,20,No,20,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Some,Mostly,None,None,Some,None,Some,None,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,42,Yes,0,Yes,0,No,22,No,20
31/M.B.,1,844,676,104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,2,2,No,2,Yes,0,Yes,No,45,No,45,No,45,No,45,No,45,No,20,No,20,No,20,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,Some,Some,None,None,None,None,Mostly,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,45,Yes,0,Yes,0,No,2,No,20
32/M.B.,2,1379,1253,61,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,0,0,No,5,Yes,0,No,No,45,No,42,No,45,No,45,No,42,No,24,No,24,No,24,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,Some,Mostly,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,42,No,1,Yes,0,No,5,No,20
26/M.B.,1,1174,1022,95,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,4,3,Yes,0,No,20,No,No,50,No,50,No,50,No,50,No,40,No,20,No,20,No,20,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Some,Some,Some,None,Some,None,Mostly,Some,Some,None,None,None,None,Mostly,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,Yes,Yes,No,Yes,No,15,No,40,Yes,0,Yes,0,Yes,0,No,20
27/M.B.,1,1551,1145,339,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,4,3,Yes,0,Yes,0,No,No,50,No,50,No,50,No,50,No,40,No,20,No,20,No,20,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Some,Mostly,Some,None,Some,None,Some,Some,Some,None,None,None,None,Mostly,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,40,Yes,0,Yes,0,Yes,0,No,20
28/M.B.,1,1345,358,918,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,4,3,No,3,No,3,No,No,50,No,50,No,50,No,50,No,40,No,3,No,20,No,20,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Some,Mostly,Some,None,Some,Some,Some,None,Some,None,None,None,None,Mostly,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Sweet,No,Open Place,None,None,None,Mostly,0,No,No,Yes,Yes,No,Yes,Yes,0,No,40,Yes,0,Yes,0,Yes,0,No,22
21/M.B.,1,1206,1083,24,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,0,0,No,12,Yes,0,No,No,40,No,40,No,40,No,40,No,40,No,18,No,18,No,18,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,None,None,Some,Some,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,40,Yes,0,Yes,0,Yes,0,No,15
22/M.B.,1,1624,1390,182,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,4,4,No,12,Yes,0,No,No,40,No,40,No,40,No,40,No,40,No,15,No,15,No,15,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,None,None,Some,Some,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,40,Yes,0,Yes,0,Yes,0,No,15
23/M.B.,1,1371,1221,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,5,5,No,8,Yes,0,No,No,40,No,40,No,40,No,40,No,40,No,18,No,18,No,18,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,Some,None,Some,Some,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,40,Yes,0,Yes,0,Yes,0,No,15
24/M.B.,1,1423,1216,147,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,4,4,No,9,Yes,0,No,No,40,No,40,No,40,No,40,No,40,No,18,No,18,No,18,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,Some,None,Some,Some,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,Yes,0,No,40,Yes,0,Yes,0,Yes,0,No,18
25/M.B.,1,1199,1065,68,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,4,4,Yes,0,Yes,0,No,No,40,No,40,No,40,No,40,No,40,No,18,No,18,No,18,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,Some,None,Some,Some,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,No,40,No,40,Yes,0,Yes,0,Yes,0,No,18
10/M.B.,1,1190,1048,100,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,2,1,No,20,No,20,No,No,35,No,35,No,35,No,35,No,35,No,5,No,5,No,20,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,Some,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,All,0,No,No,No,Yes,No,Yes,No,5,No,45,Yes,0,Yes,0,No,5,No,20
15/M.B.,1,1499,1314,148,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,2,1,No,21,No,21,No,No,46,No,46,No,46,No,46,No,6,No,6,No,6,No,6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,Mostly,None,None,None,None,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,None,2,No,No,No,Yes,No,Yes,No,7,No,46,Yes,0,Yes,0,No,2,No,21
Chak 15 A.M.B.,1,1080,1025,18,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,No,24,No,24,No,No,48,No,48,No,48,No,48,No,23,No,8,No,8,No,23,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,Mostly,None,None,None,None,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,None,4,No,No,No,Yes,No,Yes,No,7,No,48,No,5,No,5,No,6,No,23
15/B.M.B.,1,1088,1034,17,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,No,24,No,24,No,No,49,No,49,No,49,No,49,No,24,No,9,No,9,No,24,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,None,None,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,Some,None,None,5,No,No,No,Yes,No,Yes,No,8,No,49,No,6,No,6,No,8,No,24
25/A.M.B.,1,1308,1251,20,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,0,No,20,No,20,No,No,45,No,20,No,45,No,45,No,20,No,6,No,6,No,20,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,None,Mostly,None,None,None,None,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Sweet,No,Open Place,None,None,None,None,3,No,No,No,Yes,No,Yes,No,5,No,44,No,1,No,1,No,4,No,22
1/T.D.A.,1,549,423,95,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,1,0,No,2,Yes,0,Yes,No,45,No,45,No,45,No,45,No,45,No,18,No,18,No,18,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,Some,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,All,0,No,No,No,Yes,No,Yes,No,8,No,45,Yes,0,Yes,0,Yes,0,No,18
2/T.D.A.,1,1015,791,194,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,2,0,No,3,No,19,Yes,No,46,No,46,No,46,No,46,No,46,No,18,No,18,No,18,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,None,Some,None,None,None,None,Some,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,All,0,No,No,No,Yes,No,Yes,No,8,No,45,Yes,0,Yes,0,No,2,No,18
3/T.D.A.,1,911,648,233,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,3,0,No,19,No,2,Yes,No,46,No,46,No,46,No,46,No,19,No,19,No,19,No,19,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,None,Mostly,None,None,None,None,Some,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,All,0,No,No,No,Yes,No,Yes,No,9,No,46,Yes,0,Yes,0,No,2,No,19
4/T.D.A.,1,1035,776,228,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,1,0,No,2,No,3,Yes,No,46,No,46,No,46,No,46,No,19,No,19,No,19,No,19,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Some,Mostly,None,None,None,None,Some,None,Some,None,None,None,None,Mostly,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Sweet,No,Inside the House,Mostly,Mostly,Mostly,All,0,No,No,No,Yes,No,Yes,No,3,No,46,Yes,0,Yes,0,Yes,0,No,19
11/M.B.,1,830,718,74,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,1,1,No,25,No,25,No,No,25,No,25,No,25,No,25,No,25,No,25,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,None,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Brackish,No,Inside the House,Mostly,Mostly,Mostly,Mostly,0,No,No,No,Yes,No,Yes,No,25,No,25,Yes,0,Yes,0,No,1,No,20
12/M.B.,1,1117,970,97,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,1,1,No,25,No,25,No,No,25,No,25,No,25,No,25,No,25,No,25,No,25,No,25,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,Some,Some,None,Some,None,None,Some,None,None,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Brackish,No,Open Place,None,None,None,Mostly,0,No,No,No,Yes,No,Yes,No,25,No,25,Yes,0,Yes,0,Yes,0,No,25
13/M.B.,1,1174,1027,99,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,2,2,Yes,0,No,28,No,No,28,No,28,No,28,No,28,No,28,No,28,No,28,No,28,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Some,Mostly,None,None,Some,Some,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Brackish,No,Open Place,None,None,None,Mostly,0,No,No,No,Yes,No,Yes,No,28,No,28,Yes,0,Yes,0,No,1,No,28
14/M.B.,1,1180,1020,113,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,1,1,No,28,No,28,No,No,28,No,28,No,28,No,28,No,28,No,28,No,28,No,28,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Some,Mostly,None,None,Some,Some,Some,None,None,None,None,Some,None,Some,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Brackish,No,Open Place,None,None,None,Mostly,0,No,No,No,Yes,No,Yes,No,28,No,28,No,1,No,1,Yes,0,No,28
Okhli Mohla Janubi,5,26385,24938,1221,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,112,12,Yes,0,Yes,0,No,No,12,No,12,No,12,No,12,No,12,No,12,No,12,No,12,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Some,Mostly,Some,Some,None,Some,Some,Some,Mostly,None,None,None,None,Some,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Brackish,Yes,Open Place,Mostly,Mostly,None,Mostly,0,No,No,No,Yes,No,Yes,No,12,No,12,Yes,0,Yes,0,Yes,0,No,12
